City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,roma,43.2128,-75.4557,33.37,97,100,5.75,US,1738644755
1,castillos,-34.1667,-53.8333,72.01,91,3,7.94,UY,1738644756
2,dahlonega,34.5326,-83.9849,49.93,82,0,3.74,US,1738644481
3,harper,4.375,-7.7169,77.18,87,95,2.48,LR,1738644758
4,la passe,45.5549,-0.8967,40.3,77,0,4.81,FR,1738644760
5,dickinson,29.4608,-95.0513,72.05,90,100,10.36,US,1738644761
6,port-aux-francais,-49.35,70.2167,40.87,81,99,22.57,TF,1738644762
7,bethel,41.3712,-73.414,42.62,86,99,7.0,US,1738644720
8,grytviken,-54.2811,-36.5092,42.08,85,69,25.05,GS,1738644764
9,port macquarie,-31.4333,152.9167,80.08,77,100,7.0,AU,1738644765
10,aasiaat,68.7098,-52.8699,-6.65,93,100,12.77,GL,1738644766
11,albany,42.6001,-73.9662,36.66,89,100,1.01,US,1738644667
12,ayorou,14.7308,0.9174,68.59,17,38,9.89,NE,1738644768
13,puerto ayora,-0.7393,-90.3518,75.54,94,33,4.25,EC,1738644769
14,fort bragg,35.139,-79.006,51.82,88,0,1.01,US,1738644771
15,port mathurin,-19.6833,63.4167,81.25,82,19,11.95,MU,1738644772
16,malanje,-9.5402,16.341,65.1,96,100,1.03,AO,1738644773
17,hawaiian paradise park,19.5933,-154.9731,72.91,77,20,6.91,US,1738644774
18,chonchi,-42.6128,-73.8092,52.12,98,77,0.6,CL,1738644776
19,port elizabeth,-33.918,25.5701,69.31,88,0,1.01,ZA,1738644777
20,stung treng,13.5259,105.9683,90.61,33,10,6.26,KH,1738644778
21,senanga,-16.1167,23.2667,69.22,94,98,2.04,ZM,1738644781
22,georgetown,5.4112,100.3354,89.53,52,20,8.05,MY,1738644610
23,intendente alvear,-35.2338,-63.592,65.35,88,7,6.17,AR,1738644783
24,taghazout,30.5426,-9.7112,53.58,75,0,2.75,MA,1738644784
25,talnakh,69.4865,88.3972,-6.12,99,100,5.44,RU,1738644785
26,tralee,52.2704,-9.7026,48.87,90,100,11.54,IE,1738644786
27,kirensk,57.7853,108.1119,-4.9,96,100,16.78,RU,1738644787
28,adamstown,-25.066,-130.1015,77.0,77,18,15.73,PN,1738644788
29,la'ie,21.6477,-157.9253,74.59,71,0,4.0,US,1738644790
30,suva,-18.1416,178.4415,80.08,94,75,5.75,FJ,1738644565
31,kirkwall,58.9848,-2.9587,48.96,87,20,11.5,GB,1738644792
32,huntington,38.4193,-82.4452,62.38,55,60,4.0,US,1738644712
33,cabo san lucas,22.8909,-109.9124,65.01,45,4,6.6,MX,1738644584
